ADR_CP	ADR_VILLE	ADR_PAYS	ID_ANO
84320	ENTRAIGUES SUR LA SORGUES	FR	53799202
95000	CERGY	FR	95776626
78700	CONFLANS STE HONORINE	FR	54801082
76000	ROUEN	FR	35475246
0	INCONNUE	FR	38652590
0	INCONNUE	FR	30386702
31300	Toulouse	FR	75860888
92210	CLICHY LA GARENNE	FR	90143320
95230	SOISY SOUS MONTMORENCY	FR	41090570
78160	MARLY LE ROI	FR	34799957
64000	Pau	FR	63436295
0	INCONNUE	FR	89847276
78500	SARTROUVILLE	FR	53866459
64140	BILLERE	FR	61027117
64140	BILLERE	FR	24742396
0	INCONNUE	FR	2118082
0	INCONNUE	FR	22078095
0	INCONNUE	FR	13034139
75013	PARIS	FR	43425944
31670	LABEGE	FR	97053928
64000	PAU	FR	5118296
95310	SAINT-OUEN L'AUMÔNE	FR	98693929
95130	FRANCONVILLE	FR	48402525
0	INCONNUE	FR	81908099
38330	SAINT ISMIER	FR	31979679
95000	CERGY	FR	58868806
95000	CERGY	FR	72707947
78420	CARRIERES SUR SEINE	FR	12784310
59492	HOYMILLE	FR	57940985
0	INCONNUE	FR	57912764
95300	PONTOISE	FR	29579316
0	INCONNUE	FR	99942662
95290	L'ISLE ADAM	FR	24185624
31140	SAINT ALBAN	FR	11106724
83600	FRÉJUS	FR	5147335
75	GARGES LES GONESSES	FR	50515652
0	INCONNUE	FR	23056351
95420	Magny En Vexin	FR	46134052
0	INCONNUE	FR	3232626
95110	SANNOIS	FR	68988503
95011	CERGY PONTOISE CEDEX	FR	19686411
95000	CERGY	FR	19702731
93110	ROSNY-SOUS-BOIS	FR	44783049
95000	CERGY	FR	24584846
0	INCONNUE	FR	40420329
78510	TRIEL SUR SEINE	FR	21214678
95540	MERY SUR OISE	FR	28177299
64000	PAU	FR	61729525
75015	PARIS	FR	9201090
94160	ST MANDE	FR	58614232
64000	PAU	FR	11361977
95220	HERBLAY	FR	65199619
31500	TOULOUSE	FR	50911710
2100	SAINT-QUENTIN	FR	7369730
95520	OSNY	FR	342051
0	CERGY PONTOISE	FR	85778881
0	INCONNUE	FR	54645432
78130	CHAPET	FR	27509029
0	95240	FR	48259555
95220	HERBLAY	FR	96593574
0	INCONNUE	FR	88299465
95000	CERGY	FR	5440203
64800	BAUDREIX	FR	90085982
95630	MERIEL	FR	65276192
92190	MEUDON	FR	45906680
78360	montesson	FR	68583629
0	INCONNUE	FR	40362928
64000	PAU	FR	76922809
0	INCONNUE	FR	7161169
93500	PANTIN	FR	27975021
0	INCONNUE	FR	71106584
95800	CERGY	FR	41764505
0	Martinez, Buenos Aires	AR	32736869
95800	CERGY	FR	88208992
91070	BONDOUFLE	FR	21638775
75006	PARIS	FR	45538624
75016	PARIS	FR	19908607
64000	PAU	FR	76579823
95690	LABBEVILLE	FR	43637624
