ADR_CP,ADR_VILLE,ADR_PAYS,ID_ANO
78980.0,SAINT ILLIERS LA VILLE,FR,82461024
75015.0,PARIS,FR,13561459
94160.0,SAINT-MANDE,FR,96256904
95440.0,ECOUEN,FR,77702418
38000.0,GRENOBLE,FR,20968169
3150.0,Rongères,FR,41869673
91240.0,ST MICHEL SUR ORGE,FR,48034607
,,FR,57181932
,,FR,42305768
92120.0,MONTROUGE,FR,43217862
92600.0,ASNIERES SUR SEINE,FR,58618868
21160.0,COUCHEY,FR,55935380
75015.0,PARIS,FR,51425203
64000.0,PAU,FR,484713
,,FR,68917242
78600.0,MAISONS LAFFITTE,FR,26308016
77100.0,MEAUX,FR,40341197
78670.0,VILLENNES SUR SEINE,FR,50635736
85000.0,LA ROCHE SUR YON,FR,42297736
95000.0,CERGY,FR,95875931
64000.0,PAU,FR,99091882
34500.0,BEZIERS,FR,49377418
78740.0,VAUX SUR SEINE,FR,14106969
95120.0,ERMONT,FR,78917852
,,FR,8313433
33200.0,BORDEAUX,FR,80711801
33200.0,BORDEAUX,FR,2162200
95000.0,CERGY,FR,42385685
,,FR,79611073
,,FR,70473400
64000.0,PAU,FR,68863132
95350.0,SAINT BRICE SOUS FORET,FR,55899736
91280.0,SAINT-PIERRE-DU-PERRAY,FR,98394111
95520.0,OSNY,FR,8174665
9270.0,MAZERES,FR,90348191
78140.0,VÉLIZY-VILLACOUBLAY,FR,63970842
,,FR,93857836
93190.0,LIVRY GARGAN,FR,8937691
75013.0,PARIS,FR,45580310
,,FR,10630507
91310.0,MONTLHERY,FR,37479149
78980.0,MONDREVILLE,FR,24770154
62134.0,BOYAVAL,FR,25015264
63170.0,PERIGNAT-LES-SARLIEVE,FR,54720604
,FÉS,MA,79984963
95800.0,CERGY,FR,9249361
92220.0,BAGNEUX,FR,75402618
,,FR,96499482
75017.0,PARIS,FR,71554915
92400.0,COURBEVOIE,FR,44165212
97640.0,SADA (MAYOTTE),FR,3422112
95800.0,COURDIMANCHE,FR,3802794
93700.0,DRANCY,FR,61236718
95000.0,Cergy,FR,88381939
91300.0,MASSY,FR,90774456
95000.0,NEUVILLE SUR OISE,FR,94273260
95000.0,NEUVILLE SUR OISE,FR,98419102
27140.0,GISORS,FR,20088103
93000.0,BOBIGNY,FR,579242
95220.0,HERBLAY,FR,12343074
,,FR,16897739
78380.0,BOUGIVAL,FR,13081667
92600.0,ASNIERES SUR SEINE,FR,40699879
78600.0,MAISONS LAFFITTE,FR,51392526
,,FR,48967059
,,FR,19906222
95300.0,PONTOISE,FR,45283039
,,FR,9422403
95000.0,CERGY,FR,14497552
,,FR,36938522
,,FR,77820345
95000.0,CERGY,FR,75405889
,75013,FR,67313000
95100.0,ARGENTEUIL,FR,50596535
75015.0,Paris,FR,79076844
95000.0,CERGY,FR,58626777
93420.0,VILLEPINTE,FR,89509586
95000.0,CERGY,FR,75417335
75012.0,Paris,FR,79868347
95580.0,ANDILLY,FR,24877013
64000.0,PAU,FR,5584311
78520.0,Limay,FR,46188478
,,FR,40847791
94300.0,VINCENNES,FR,58855340
,suryapet,IN,59029268
95320.0,ST LEU LA FORET,FR,46674191
78180.0,MONTIGNY-LE-BRETONNEUX,FR,92667371
75017.0,PARIS,FR,6593767
,,FR,10436293
21800.0,QUETIGNY,FR,64550083
93320.0,LES PAVILLONS SOUS BOIS,FR,6200910
